Dataset,Model,Lead Day,Train Accuracy,Test Accuracy,Fit Difference,Precision,Recall,F1,Brier,AUC,POD,FAR,CSI,TSS,HSS
3 Day Forecast 0030,DT,0,0.79,0.76,0.03,0.96,0.63,0.76,0.15,0.83,0.63,0.04,0.61,0.59,0.53
3 Day Forecast 0030,RF,0,0.8,0.76,0.04,0.93,0.66,0.78,0.15,0.84,0.66,0.07,0.63,0.59,0.54
3 Day Forecast 0030,DT,1,0.79,0.75,0.04,0.91,0.65,0.76,0.15,0.83,0.65,0.09,0.61,0.55,0.51
3 Day Forecast 0030,RF,1,0.8,0.76,0.04,0.93,0.66,0.77,0.15,0.84,0.66,0.07,0.63,0.58,0.53
3 Day Forecast 0030,DT,2,0.8,0.75,0.04,0.94,0.63,0.75,0.15,0.83,0.63,0.06,0.61,0.57,0.53
3 Day Forecast 0030,RF,2,0.81,0.76,0.05,0.95,0.63,0.76,0.16,0.83,0.63,0.05,0.61,0.58,0.54

3 Day Forecast 1230,DT,0,0.79,0.75,0.04,0.93,0.65,0.77,0.15,0.83,0.65,0.07,0.62,0.56,0.51
3 Day Forecast 1230,RF,0,0.8,0.76,0.04,0.93,0.67,0.78,0.15,0.84,0.67,0.07,0.64,0.58,0.53
3 Day Forecast 1230,DT,1,0.8,0.76,0.04,0.94,0.64,0.76,0.15,0.82,0.64,0.06,0.61,0.58,0.53
3 Day Forecast 1230,RF,1,0.8,0.76,0.05,0.93,0.65,0.77,0.16,0.84,0.65,0.07,0.62,0.57,0.53
3 Day Forecast 1230,DT,2,0.78,0.73,0.05,0.95,0.61,0.74,0.16,0.8,0.61,0.05,0.59,0.55,0.48
3 Day Forecast 1230,RF,2,0.8,0.73,0.06,0.94,0.62,0.75,0.16,0.82,0.62,0.06,0.6,0.55,0.49
